时间,静压,总压,总温,气压高度,指示空速,真空速,马赫数,垂直速度,大气静温
416.2,73486.1036537258,100914.338116346,299.972534459894,2628.33790654831,202.534063196214,241.006985198452,0.730208905676333,7.30034925992259,271.065803607436
416.3,73479.3475303002,100856.789731432,299.916410697131,2629.06740574557,202.361435823234,240.792693704828,0.729566021190258,7.28963468524141,271.061061862654
416.4,73472.6018508472,100799.119043195,299.860143059063,2629.79583143321,202.188160393194,240.57758135126,0.728920629026226,7.27887906756301,271.056327095684
416.5,73465.8666509287,100741.328540807,299.803734131186,2630.52317952817,202.014243184565,240.361656630015,0.728272754838161,7.26808283150074,271.051599333067
416.6,73459.1419657048,100683.420714254,299.747186501068,2631.2494459899,201.839690503398,240.14492806543,0.727622424378747,7.25724640327152,271.046878601066
416.7,73452.4278299333,100625.398054157,299.690502758167,2631.9746268206,201.664508683131,239.927404213579,0.726969663498403,7.24637021067897,271.042164925666
416.8,73445.7242779674,100567.263051605,299.633685493645,2632.69871806529,201.488704084401,239.709093661932,0.726314498144269,7.23545468309658,271.037458332576
416.9,73439.0313437552,100509.018197981,299.576737300186,2633.42171581202,201.312283094846,239.490005029013,0.725656954359177,7.22450025145066,271.032758847222
417,73432.3490608377,100450.665984789,299.519660771812,2634.143616192,201.135252128912,239.270146964069,0.72499705828062,7.21350734820343,271.028066494752
417.1,73425.6774623485,100392.208903486,299.462458503701,2634.86441537978,200.957617627657,239.049528146717,0.724334836139723,7.20247640733587,271.023381300031
417.2,73419.016581012,100333.64944531,299.405133092004,2635.58410959336,200.779386058552,238.828157286613,0.723670314260203,7.19140786433066,271.018703287643
417.3,73412.3664491423,100274.990101111,299.347687133667,2636.30269509439,200.600563915279,238.606043123098,0.723003519057328,7.18030215615491,271.014032481886
417.4,73405.7270986419,100216.233361186,299.290123226249,2637.02016818826,200.421157717533,238.383194424859,0.722334477036876,7.16915972124297,271.009368906776
417.5,73399.0985610011,100157.381715103,299.232443967738,2637.73652522429,200.241174010816,238.159619989582,0.721663214794083,7.15798099947909,271.004712586042
417.6,73392.480867296,100098.437651543,299.17465195638,2638.45176259587,200.060619366232,237.935328643601,0.720989759012593,7.14676643218006,271.000063543127
417.7,73385.8740481881,100039.403658127,299.116749790492,2639.16587674059,199.879500380287,237.710329241556,0.720314136463403,7.1355164620778,270.995421801186
417.8,73379.2781339228,99980.2822212524,299.05874006829,2639.87886414036,199.697823674672,237.484630666037,0.719636374003805,7.12423153330186,270.990787383088
417.9,73372.6931543285,99921.0758259297,299.000625387708,2640.59072132159,199.515595896062,237.258241827238,0.718956498576322,7.11291209136191,270.98616031141
418,73366.1191388152,99861.7869556157,298.942408346225,2641.30144485531,199.332823715897,237.031171662603,0.718274537207645,7.10155858313015,270.98154060844
418.1,73359.556116374,99802.418092052,298.884091540684,2642.01103135731,199.149513830179,236.803429136472,0.717590517007559,7.09017145682361,270.976928296177
418.2,73353.0041155753,99742.9717151018,298.825677567125,2642.71947748825,198.96567295925,236.575023239731,0.716904465167878,7.07875116198656,270.972323396326
418.3,73346.4631645686,99683.4503025886,298.767169020602,2643.42677995383,198.781307847579,236.345962989454,0.716216408961361,7.06729814947269,270.9677259303
418.4,73339.9332910808,99623.8563301353,298.708568495015,2644.13293550487,198.596425263549,236.116257428546,0.715526375740642,7.05581287142732,270.963135919218
418.5,73333.4145224155,99564.1922710043,298.649878582937,2644.8379409375,198.41103199923,235.885915625391,0.714834392937139,7.04429578126956,270.958553383906
418.6,73326.906885452,99504.4605959386,298.59110187544,2645.54179309325,198.225134870166,235.654946673488,0.714140488059975,7.0327473336744,270.953978344894
418.7,73320.4104066445,99444.663773004,298.532240961928,2646.24448885916,198.03874071515,235.423359691096,0.713444688694886,7.02116798455479,270.949410822415
418.8,73313.9251120205,99384.8042674315,298.47329842996,2646.94602516794,197.851856396001,235.191163820872,0.712747022503134,7.0095581910436,270.944850836408
418.9,73307.4510271808,99324.8845414612,298.41427686509,2647.64639899807,197.66448879734,234.958368229512,0.712047517220404,6.9979184114756,270.940298406513
419,73300.9881772979,99264.9070541875,298.355178850691,2648.34560737391,197.476644826362,234.724982107387,0.711346200655717,6.98624910536935,270.93575355207
419.1,73294.5365871152,99204.8742614041,298.296006967791,2649.04364736585,197.288331412607,234.491014668182,0.710643100690319,6.97455073340909,270.931216292122
419.2,73288.0962809464,99144.7886154514,298.236763794908,2649.74051609039,197.099555507734,234.25647514853,0.709938245276585,6.96282375742649,270.926686645412
